epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.791,1.18708,2.04094,1.39025,0.39316,0.32275,0.28614,0.14659,1.51737,2.79838,1.76453,0.00055347,0.00055347,0.00055347
2,314.238,1.30149,1.5965,1.46252,0.68223,0.59149,0.66137,0.3763,1.41541,1.67093,1.69105,0.00109816,0.00109816,0.00109816
3,365.002,1.3304,1.46996,1.48576,0.51039,0.49767,0.46825,0.24733,1.55349,1.95195,1.75474,0.00163184,0.00163184,0.00163184
4,414.234,1.3047,1.39682,1.46196,0.7038,0.63495,0.71073,0.41871,1.31298,1.33939,1.60219,0.00161749,0.00161749,0.00161749
5,463.688,1.26732,1.32072,1.43694,0.67128,0.63774,0.69177,0.41952,1.27658,1.33106,1.53184,0.00160099,0.00160099,0.00160099
6,513.149,1.23055,1.25443,1.41736,0.70758,0.64892,0.70357,0.43771,1.28833,1.23957,1.54174,0.00158448,0.00158448,0.00158448
7,562.638,1.20991,1.20634,1.39909,0.78498,0.71074,0.79296,0.51669,1.20023,1.01728,1.49947,0.00156798,0.00156798,0.00156798
8,611.117,1.18605,1.16202,1.38095,0.78668,0.67281,0.77284,0.50122,1.16626,1.10835,1.43398,0.00155148,0.00155148,0.00155148
9,661.516,1.17813,1.14057,1.37282,0.77764,0.70544,0.78359,0.50134,1.19134,1.05541,1.46075,0.00153497,0.00153497,0.00153497
10,711.066,1.15928,1.10284,1.35835,0.77391,0.72267,0.79069,0.5098,1.1386,1.04898,1.40413,0.00151847,0.00151847,0.00151847
11,758.73,1.1432,1.09553,1.35395,0.765,0.67176,0.74801,0.46713,1.2709,1.07061,1.53679,0.00150197,0.00150197,0.00150197
12,807.374,1.13855,1.06199,1.34071,0.79839,0.7177,0.80399,0.53115,1.155,0.97154,1.42269,0.00148546,0.00148546,0.00148546
13,856.344,1.11603,1.04215,1.33163,0.83847,0.75122,0.84262,0.55449,1.13013,0.90033,1.38462,0.00146896,0.00146896,0.00146896
14,905.365,1.12857,1.04043,1.33172,0.81269,0.75459,0.83072,0.55551,1.14798,0.87799,1.40403,0.00145246,0.00145246,0.00145246
15,955.842,1.11439,1.02264,1.32626,0.80758,0.73226,0.81794,0.55295,1.10148,0.93663,1.37909,0.00143595,0.00143595,0.00143595
16,1005.38,1.08363,0.98309,1.30826,0.81671,0.76809,0.84153,0.55941,1.08757,0.89541,1.3527,0.00141945,0.00141945,0.00141945
17,1054.49,1.08118,0.98249,1.30672,0.84506,0.77262,0.85694,0.57529,1.09654,0.84808,1.36428,0.00140295,0.00140295,0.00140295
18,1101.94,1.076,0.97642,1.30093,0.82989,0.77182,0.84958,0.57221,1.09619,0.88147,1.36276,0.00138644,0.00138644,0.00138644
19,1149.48,1.06825,0.95801,1.29257,0.84673,0.74493,0.84423,0.55941,1.11275,0.85922,1.3884,0.00136994,0.00136994,0.00136994
20,1197.1,1.06729,0.9461,1.29179,0.86533,0.76178,0.85609,0.58262,1.07327,0.84276,1.33486,0.00135344,0.00135344,0.00135344
21,1246.16,1.06714,0.95074,1.28856,0.82855,0.75587,0.84058,0.5622,1.10776,0.85748,1.36293,0.00133693,0.00133693,0.00133693
22,1294.72,1.05758,0.92376,1.28166,0.86659,0.77354,0.86239,0.58676,1.07866,0.81147,1.35702,0.00132043,0.00132043,0.00132043
23,1343.58,1.04337,0.90781,1.27857,0.8486,0.77613,0.86332,0.58862,1.06088,0.82237,1.33125,0.00130393,0.00130393,0.00130393
24,1392.24,1.04254,0.90093,1.27559,0.85595,0.793,0.87711,0.60772,1.05063,0.76088,1.32634,0.00128742,0.00128742,0.00128742
25,1440.82,1.04118,0.89284,1.27586,0.84967,0.76323,0.8537,0.57977,1.09989,0.83441,1.3543,0.00127092,0.00127092,0.00127092
26,1489.86,1.03677,0.88732,1.26859,0.86612,0.78125,0.87604,0.60035,1.05715,0.75656,1.32426,0.00125442,0.00125442,0.00125442
27,1537.87,1.02844,0.88389,1.26588,0.87065,0.8021,0.88556,0.60884,1.05675,0.73792,1.31856,0.00123791,0.00123791,0.00123791
28,1588.06,1.02868,0.87321,1.2552,0.87408,0.80467,0.88553,0.61049,1.04356,0.72953,1.30748,0.00122141,0.00122141,0.00122141
29,1638.4,1.01878,0.85785,1.26057,0.83727,0.80242,0.87264,0.59658,1.03733,0.76991,1.30369,0.00120491,0.00120491,0.00120491
30,1690.26,1.01928,0.86229,1.25954,0.88513,0.79651,0.88182,0.60635,1.0502,0.7629,1.3136,0.0011884,0.0011884,0.0011884
31,1742.24,0.99947,0.83174,1.24061,0.86222,0.80016,0.88354,0.61196,1.03306,0.74062,1.29742,0.0011719,0.0011719,0.0011719
32,1794.24,1.00865,0.84383,1.25073,0.87944,0.79316,0.89069,0.62569,1.01494,0.71269,1.29234,0.0011554,0.0011554,0.0011554
33,1844.57,1.00609,0.83391,1.24762,0.86275,0.80439,0.87643,0.60592,1.05028,0.74564,1.31137,0.00113889,0.00113889,0.00113889
34,1893.95,1.00092,0.82282,1.24488,0.86146,0.81429,0.88518,0.62122,1.02222,0.71972,1.29322,0.00112239,0.00112239,0.00112239
35,1943.96,0.9902,0.83021,1.24316,0.86225,0.81372,0.88729,0.6146,1.01929,0.73264,1.2871,0.00110589,0.00110589,0.00110589
36,1993.33,0.98293,0.80197,1.23337,0.86598,0.81838,0.8916,0.63265,1.01716,0.70225,1.28948,0.00108938,0.00108938,0.00108938
37,2043.24,0.9893,0.81141,1.23777,0.86253,0.82632,0.89905,0.62899,1.01562,0.70381,1.27768,0.00107288,0.00107288,0.00107288
38,2093.97,0.98334,0.8029,1.23198,0.8848,0.81928,0.89954,0.62784,1.01152,0.70029,1.27544,0.00105638,0.00105638,0.00105638
39,2143.95,0.9713,0.784,1.22661,0.87777,0.82161,0.8983,0.62996,1.00916,0.68892,1.27691,0.00103987,0.00103987,0.00103987
40,2194.91,0.96759,0.78503,1.22136,0.88728,0.82069,0.89989,0.63556,1.00583,0.67057,1.28294,0.00102337,0.00102337,0.00102337
41,2245.19,0.97676,0.78715,1.22461,0.86671,0.83241,0.90067,0.63855,1.00371,0.66516,1.27805,0.00100687,0.00100687,0.00100687
42,2296.18,0.96713,0.76917,1.21964,0.89116,0.81786,0.90612,0.63899,1.00348,0.66265,1.26979,0.000990365,0.000990365,0.000990365
43,2347.1,0.96593,0.76466,1.22266,0.89493,0.81583,0.901,0.63349,1.02231,0.6806,1.28256,0.000973861,0.000973861,0.000973861
44,2397.17,0.96015,0.77066,1.21221,0.88061,0.81441,0.89798,0.6314,1.00977,0.68131,1.27408,0.000957358,0.000957358,0.000957358
45,2445.83,0.94666,0.74478,1.21237,0.88365,0.82789,0.90329,0.63219,1.0128,0.66788,1.27359,0.000940855,0.000940855,0.000940855
46,2495.08,0.95883,0.7525,1.21531,0.89752,0.82669,0.9076,0.63743,1.01405,0.66197,1.27908,0.000924352,0.000924352,0.000924352
47,2544.63,0.94811,0.74388,1.21053,0.90156,0.82289,0.90492,0.64037,1.00846,0.65611,1.27892,0.000907848,0.000907848,0.000907848
48,2593.69,0.92768,0.7315,1.19791,0.88634,0.83179,0.89949,0.6343,1.00203,0.66174,1.26856,0.000891345,0.000891345,0.000891345
49,2643.59,0.94648,0.74652,1.2122,0.88761,0.84836,0.90841,0.64615,0.98817,0.63593,1.25787,0.000874842,0.000874842,0.000874842
50,2693.87,0.9499,0.74023,1.20916,0.88437,0.82719,0.90988,0.64751,0.99009,0.65287,1.25448,0.000858338,0.000858338,0.000858338
51,2746.12,0.9348,0.7291,1.20167,0.87687,0.84281,0.9099,0.64186,0.99912,0.64578,1.26496,0.000841835,0.000841835,0.000841835
52,2797.24,0.92347,0.70313,1.18964,0.89344,0.82654,0.91013,0.64312,1.00824,0.64049,1.26835,0.000825332,0.000825332,0.000825332
53,2847.81,0.92418,0.70435,1.18391,0.89077,0.82378,0.91078,0.64456,1.00165,0.65766,1.25334,0.000808828,0.000808828,0.000808828
54,2899.98,0.9217,0.70272,1.19487,0.90042,0.83691,0.91029,0.64779,0.98896,0.63091,1.26246,0.000792325,0.000792325,0.000792325
